Company Name,Ticker,Last Close,Exchange
The Cheesecake Factory Incorporated,CAKE,48.42,NSDQ
"Calithera Biosciences, Inc.",CALA,8.75,NSDQ
"Callidus Software, Inc.",CALD,27.55,NSDQ
China Auto Logistics Inc.,CALI,3.51,NSDQ
magicJack VocalTec Ltd,CALL,8.3,NSDQ
"Cal-Maine Foods, Inc.",CALM,45.15,NSDQ
CalAmp Corp.,CAMP,21.92,NSDQ
Camtek Ltd.,CAMT,5.45,NSDQ
"Capricor Therapeutics, Inc.",CAPR,1.7,NSDQ
"Avis Budget Group, Inc.",CAR,41.16,NSDQ
"Cara Therapeutics, Inc.",CARA,12.54,NSDQ
"Carbonite, Inc.",CARB,23.15,NSDQ
"CarGurus, Inc.",CARG,30.56,NSDQ
Carolina Financial Corporation,CARO,36.83,NSDQ
"Carolina Trust BancShares, Inc.",CART,9.4,NSDQ
"Carver Bancorp, Inc.",CARV,3.3632,NSDQ
"Cascadian Therapeutics, Inc.",CASC,3.87,NSDQ
"Meta Financial Group, Inc.",CASH,91.35,NSDQ
"CASI Pharmaceuticals, Inc.",CASI,3.35,NSDQ
"CAS Medical Systems, Inc.",CASM,0.64,NSDQ
"Cass Information Systems, Inc",CASS,61.97,NSDQ
"Catabasis Pharmaceuticals, Inc.",CATB,1.74,NSDQ
Cambridge Bancorp,CATC,81.4,NSDQ
Cardtronics PLC,CATM,18.31,NSDQ
Catasys Inc.,CATS,3.68,NSDQ
Cathay General Bancorp,CATY,42.44,NSDQ
"Cavium, Inc.",CAVM,85.34,NSDQ
"China BAK Battery, Inc.",CBAK,1.55,NSDQ
"Colony Bankcorp, Inc.",CBAN,14,NSDQ
CymaBay Therapeutics Inc.,CBAY,8.11,NSDQ
"CB Financial Services, Inc.",CBFV,29.9399,NSDQ
"Catalyst Biosciences, Inc.",CBIO,8.31,NSDQ
"Cleveland BioLabs, Inc.",CBLI,2.78,NSDQ
"Cellular Biomedicine Group, Inc.",CBMG,10.5,NSDQ
"China Biologic Products, Inc.",CBPO,78.17,NSDQ
